"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11_Education 11-02-07_ETF_trading","Role: UnAuth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_05 | Testing button [Trade] on Widget 'Most Traded'","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnReg / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_01 | Testing button [LogIn]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: Auth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_03 | Testing button [StartTrading]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnAuth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_04 | Testing button [TryDemo]","1","0","0","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: Auth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_06 | Testing button [Create & verify your account]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnAuth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_06 | Testing button [Create & verify your account]","0","1","0","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: Auth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_04 | Testing button [TryDemo]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnReg / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_06 | Testing button [Create & verify your account]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: Auth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_05 | Testing button [Trade] on Widget 'Most Traded'","1","0","0","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnReg / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_02 | Testing button [SignUp]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnReg / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.01.01_03 | Testing button [StartTrading]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnAuth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_01 | Testing button [LogIn]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnAuth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_02 | Testing button [SignUp]","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnReg / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_05 | Testing button [Trade] on Widget 'Most Traded'","0","0","1","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnReg / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_04 | Testing button [TryDemo]","0","1","0","0","0"
"US_11_Education 11-02-07_ETF_trading","Role: UnAuth / TS_11.02.07 | Education > Menu Item [ETF trading]","TC_11.02.07_03 | Testing button [StartTrading]","1","0","0","0","0"
